director_actor,info,introduce,name,pic_link,rank,rating_num,rating_score
导演: 马丁·麦克唐纳 Martin McDonagh   主演: 弗兰西斯·麦克多蒙德 France...,2017 / 美国 英国 / 剧情 犯罪,怼天怼地，你走后，她与世界为敌。,三块广告牌,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2510081688.jpg,160,758876人评价,8.7
导演: 王家卫 Kar Wai Wong   主演: 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...,2000 / 中国香港 / 剧情 爱情,偷情本没有这样美。,花样年华,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.jpg,156,541339人评价,8.7
导演: 新海诚 Makoto Shinkai   主演: 神木隆之介 Ryûnosuke Kamiki / 上...,2016 / 日本 / 剧情 爱情 动画,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,你的名字。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg,161,1268729人评价,8.5
导演: 道格·里曼 Doug Liman   主演: 马特·达蒙 Matt Damon / 弗兰卡·波坦...,2002 / 美国 德国 捷克 / 动作 悬疑 惊悚,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,谍影重重,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.jpg,237,389910人评价,8.6
导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...,2006 / 英国 美国 / 剧情 悬疑 惊悚,孪生蝙蝠侠大战克隆金刚狼。,致命魔术,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,79,786243人评价,8.9
导演: 让-马克·瓦雷 Jean-Marc Vallée   主演: 马修·麦康纳 Matthew McCon...,2013 / 美国 / 剧情 传记 同性,Jared Leto的腿比女人还美！,达拉斯买家俱乐部,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg,163,416855人评价,8.8
导演: 雷德利·斯科特 Ridley Scott   主演: 吉娜·戴维斯 Geena Davis / 苏...,1991 / 美国 英国 法国 / 犯罪 剧情 惊悚,没有了退路，只好飞向自由。,末路狂花,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910924635.jpg,238,213735人评价,8.9
导演: 约翰·卡尼 John Carney   主演: 凯拉·奈特莉 Keira Knightley / 马克...,2013 / 美国 / 喜剧 爱情 音乐,爱我就给我看你的播放列表。,再次出发之纽约遇见你,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2250287733.jpg,239,394681人评价,8.6
导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚,人的命运被自己瞬间的抉择改变。,蝴蝶效应,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,82,857314人评价,8.8
导演: 细田守 Mamoru Hosoda   主演: 仲里依纱 Riisa Naka / 石田卓也 Takuya...,2006 / 日本 / 剧情 爱情 科幻 动画,爱上未来的你。 ,穿越时空的少女,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2079334286.jpg,241,354561人评价,8.6
导演: 雷德利·斯科特 Ridley Scott   主演: 马特·达蒙 Matt Damon / 杰西卡...,2015 / 英国 美国 匈牙利 约旦 / 剧情 科幻 冒险,,火星救援,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2280097442.jpg,240,652078人评价,8.5
导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...,1984 / 美国 意大利 / 犯罪 剧情,往事如烟，无处祭奠。,美国往事,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,83,378724人评价,9.2
导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,2015 / 美国 / 喜剧 动画 冒险,愿我们都不用长大，每一座城堡都能永远存在。,头脑特工队,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2266293606.jpg,158,552256人评价,8.8
